variable_name,label_english,label_spanish,topic,question_type,choices,required,constraint,constraint_message,questionnaire_include,odk_calculate_expr,odk_calculate_output,odk_calculate_include,quality_include,quality_min,quality_max,quality_outlier_sd,quality_report,descriptive_include,descriptive_chart,descriptive_group_by,model_role,model_notes
coffee_yield_raw,Coffee yield last harvest (local units),Rendimiento de café última cosecha (unidades locales),production,decimal,,1,". >= 0","Yield cannot be negative",1,"if(${yield_unit}='qq', ${coffee_yield_raw}*46, if(${yield_unit}='kg', ${coffee_yield_raw}, ${coffee_yield_raw}*1000))",coffee_yield_kg,1,1,0,10000,3,1,1,histogram,,1,Dependent variable
yield_unit,Unit for yield measurement,Unidad de medida del rendimiento,production,select_one,"qq:Quintales;kg:Kilogramos;ton:Toneladas",1,,,1,,yield_unit,0,0,,,0,0,,,0,
coffee_price_received,Price received per quintal (USD),Precio recibido por quintal (USD),market,decimal,,1,". > 0 and . < 1000","Price must be between 0 and 1000 USD",1,,coffee_price_received_usd,0,1,0,1000,3,1,1,histogram,,2,Independent variable
sells_to_cooperative,Sells coffee to a cooperative,Vende café a una cooperativa,market,select_one,"yes:Sí;no:No",1,,,1,,sells_to_cooperative,0,0,,,0,1,1,bar,,2,Independent variable
has_formal_credit,Has access to formal credit,Tiene acceso a crédito formal,finance,select_one,"yes:Sí;no:No",1,,,1,,has_formal_credit,0,0,,,0,1,1,bar,,2,Independent variable
credit_amount_usd,Total credit amount received (USD),Monto total de crédito recibido (USD),finance,decimal,,0,". >= 0","Amount cannot be negative",1,,credit_amount_usd,0,1,0,50000,3,1,1,histogram,,2,Independent variable
uses_fertilizer,Uses chemical fertilizer,Usa fertilizante químico,inputs,select_one,"yes:Sí;no:No",1,,,1,,uses_fertilizer,0,0,,,0,1,1,bar,,2,Independent variable
fertilizer_cost_usd,Annual fertilizer expenditure (USD),Gasto anual en fertilizante (USD),inputs,decimal,,0,". >= 0","Cost cannot be negative",1,,fertilizer_cost_usd,0,1,0,5000,3,1,1,histogram,,3,Control variable
uses_improved_variety,Uses improved/certified variety,Usa variedad mejorada/certificada,technology,select_one,"yes:Sí;no:No",1,,,1,,uses_improved_variety,0,0,,,0,1,1,bar,,2,Independent variable
wtp_certification,Willingness to pay for certification (USD/year),Disposición a pagar por certificación (USD/año),wtp,decimal,,0,". >= 0","WTP cannot be negative",1,,wtp_certification_usd,0,1,0,500,3,1,1,histogram,,1,Dependent variable (WTP studies)
gps_latitude,GPS latitude of main plot,Latitud GPS del plot principal,geospatial,decimal,,0,". >= -90 and . <= 90","Invalid latitude",1,,gps_latitude,0,1,-90,90,0,0,,,0,
gps_longitude,GPS longitude of main plot,Longitud GPS del plot principal,geospatial,decimal,,0,". >= -180 and . <= 180","Invalid longitude",1,,gps_longitude,0,1,-180,180,0,0,,,0,
interview_duration_min,Interview duration in minutes,Duración de la entrevista en minutos,quality_meta,integer,,0,". >= 5 and . <= 180","Duration seems implausible",1,,interview_duration_min,0,1,5,180,3,1,1,histogram,,0,
enumerator_id,Enumerator ID code,Código del encuestador,quality_meta,text,,1,,,1,,enumerator_id,0,0,,,0,0,,,0,
